Overall graph size pval = 0.0
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
IGHV3-23	0.0	0.0	1.0
ARAF	0.0	0.0	1.0
MPRIP	0.0	0.0	1.0
IGKV1-16	0.0	0.0	1.0
IGKV1-17	0.0	0.0	1.0
FGFR1OP2	0.0	0.0	1.0
TRBC1	0.0	0.0	1.0
IGKV1-12	0.0	0.0	1.0
IGHV3-7	0.0	0.0	1.0
IGHV3-9	0.0	0.0	1.0
IGHV3-30	0.0	0.0	1.0
IGHV3-33	0.0	0.0	1.0
PRKCE	0.0	0.0	1.0
PRKCD	0.0	0.0	1.0
FRS2	0.0	0.0	1.0
PRKCA	0.0	0.0	1.0
FRS3	0.0	0.0	1.0
SND1	0.0	0.0	1.0
BCR	0.0	0.0	1.0
TYRO3	0.0	0.0	1.0
Ab	0.0	1.0	0.0
PDGFB	0.0	0.0	1.0
PDGFA	0.0	0.0	1.0
IGHV1-69	0.0	0.0	1.0
IQGAP1	0.0	0.0	1.0
ZC3HAV1	0.0	0.0	1.0
KLRK1	0.0	0.0	1.0
PDGFR	0.0	0.0	1.0
HLA-DQA2	0.0	0.0	1.0
ATG7	0.0	0.0	1.0
HLA-DQA1	0.0	0.0	1.0
RET/PTC2	0.0	0.0	1.0
LYN	0.0	0.0	0.0
HLA-DRB5	0.0	0.0	1.0
HLA-DRB4	0.0	0.0	1.0
TSLP	0.0	0.0	1.0
IGHV3-11	0.0	0.0	1.0
IGHV3-13	0.0	0.0	1.0
MAP2K_group	0.0	0.0	1.0
FN1	0.0	0.0	1.0
BRAF	0.0	0.0	1.0
ERLIN2	0.0	0.0	1.0
CILP	0.0	0.0	1.0
HLA-DRB3	0.0	0.0	1.0
HLA-DRB1	0.0	0.0	1.0
RET	0.0	0.0	1.0
ITK	0.0	0.0	1.0
IGHV1-46	0.0	0.0	1.0
SHB	0.0	1.0	0.0
JAK2	0.0	0.0	1.0
JAK3	0.0	0.0	1.0
HLA-DPA1	0.0	0.0	1.0
JAK1	0.0	0.0	1.0
DUSP4	0.0	1.0	0.0
DUSP5	0.0	1.0	0.0
DUSP2	0.0	1.0	0.0
DUSP3	0.0	0.0	1.0
DUSP1	0.0	1.0	0.0
DUSP8	0.0	1.0	0.0
DUSP9	0.0	1.0	0.0
DUSP6	0.0	1.0	0.0
DUSP7	0.0	1.0	0.0
APBB1IP	0.0	0.0	1.0
HLA-DQB2	0.0	0.0	1.0
IGLV3-19	0.0	0.0	1.0
HLA-DQB1	0.0	0.0	1.0
HBEGF	0.0	0.0	1.0
TRBV12-3	0.0	0.0	1.0
PAPSS1	0.0	0.0	1.0
NTF4	0.0	0.0	1.0
IGLV3-25	0.0	0.0	1.0
NRAS	0.0	0.0	1.0
IGLV3-27	0.0	0.0	1.0
IGLV3-21	0.0	0.0	1.0
NTF3	0.0	0.0	1.0
IL12RB1	0.0	0.0	1.0
IL12RB2	0.0	0.0	1.0
IL10RB	0.0	0.0	1.0
AGK	0.0	0.0	1.0
IL10RA	0.0	0.0	1.0
HLA-DPB1	0.0	0.0	1.0
TCRB	0.0	0.0	1.0
TCRA	0.0	0.0	1.0
CRLF2	0.0	0.0	1.0
CSF2	0.0	0.0	1.0
ITGA2B	0.0	0.0	1.0
IL5RA	0.0	0.0	1.0
FGF1	0.0	0.0	1.0
FGF2	0.0	0.0	1.0
FGF3	0.0	0.0	1.0
FGF4	0.0	0.0	1.0
IGHG3	0.0	0.0	1.0
FGF5	0.0	0.0	1.0
IGHG4	0.0	0.0	1.0
FGF6	0.0	0.0	1.0
IGHG1	0.0	0.0	1.0
FGF7	0.0	0.0	1.0
IGHG2	0.0	0.0	1.0
FGF8	0.0	0.0	1.0
FGF9	0.0	0.0	1.0
LEPR	0.0	0.0	1.0
ROS1	0.0	0.0	1.0
IL13RA1	0.0	0.0	1.0
MAP2K3	0.0	0.0	1.0
MAP2K1	0.0	0.0	1.0
MAP2K2	0.0	0.0	1.0
F2R	0.0	0.0	1.0
IGKV1D-39	0.0	0.0	1.0
CDC25C	0.0	0.0	1.0
IGKV1D-33	0.0	0.0	1.0
MYT1	0.0	1.0	0.0
CDC25A	0.0	0.0	1.0
CDC25B	0.0	0.0	0.0
IL6ST	0.0	0.0	1.0
BLK	0.0	0.0	1.0
FAM114A2	0.0	0.0	1.0
CSH1	0.0	0.0	1.0
IGHV4-59	0.0	0.0	1.0
PKMYT1	0.0	1.0	0.0
RAP1B	0.0	0.0	1.0
IGLV2-11	0.0	0.0	1.0
SOCS3	0.0	1.0	0.0
BAG4	0.0	0.0	1.0
SOCS1	0.0	1.0	0.0
RAP1A	0.0	0.0	1.0
IGLV1-40	0.0	0.0	1.0
BCL2L11	0.0	0.0	1.0
IGLV1-47	0.0	0.0	1.0
IGLV2-14	0.0	0.0	1.0
IGLV1-44	0.0	0.0	1.0
PLXNA2	0.0	1.0	0.0
ABL1	0.0	0.0	0.0
PLXNA1	0.0	1.0	0.0
ABL2	0.0	0.0	1.0
PLXNA4	0.0	1.0	0.0
PLXNA3	0.0	1.0	0.0
KL	0.0	0.0	1.0
BDNF	0.0	0.0	1.0
IGKV1D-16	0.0	0.0	1.0
